iter	Passed	Remaining
259	1292	3677
260	1296	3670
261	1300	3663
262	1304	3656
263	1308	3649
264	1314	3645
265	1318	3637
266	1322	3630
267	1327	3624
268	1331	3619
269	1336	3612
270	1340	3605
271	1344	3597
272	1348	3590
273	1352	3582
274	1357	3577
275	1361	3571
276	1365	3564
277	1369	3556
278	1373	3549
279	1378	3543
280	1382	3536
281	1387	3531
282	1392	3526
283	1395	3519
284	1400	3513
285	1405	3507
286	1411	3505
287	1415	3500
288	1420	3494
289	1425	3489
290	1429	3482
291	1433	3476
292	1438	3470
293	1443	3466
294	1447	3459
295	1451	3452
296	1456	3446
297	1461	3443
298	1465	3435
299	1469	3428
300	1474	3423
301	1478	3417
302	1482	3410
303	1486	3403
304	1491	3397
305	1494	3390
306	1498	3383
307	1504	3379
308	1509	3375
309	1514	3370
310	1518	3364
311	1523	3360
312	1527	3353
313	1532	3347
314	1536	3340
315	1540	3333
316	1543	3326
317	1547	3319
318	1552	3313
319	1557	3309
320	1562	3304
321	1567	3299
322	1572	3296
323	1577	3290
324	1581	3283
325	1585	3277
326	1589	3271
327	1593	3265
328	1597	3258
329	1601	3251
330	1606	3245
331	1610	3240
332	1614	3233
333	1619	3228
334	1624	3224
335	1628	3218
336	1632	3211
337	1636	3205
338	1640	3198
339	1644	3192
340	1649	3187
341	1653	3181
342	1657	3175
343	1661	3168
344	1664	3161
345	1669	3156
346	1675	3153
347	1679	3146
348	1683	3139
349	1686	3132
350	1691	3127
351	1695	3122
352	1700	3117
353	1706	3113
354	1710	3108
355	1714	3101
356	1719	3096
357	1723	3090
358	1728	3086
359	1732	3080
360	1737	3074
361	1742	3070
362	1746	3065
363	1750	3059
364	1755	3053
365	1759	3047
366	1763	3041
367	1767	3035
368	1771	3029
369	1775	3023
370	1780	3017
371	1785	3013
372	1788	3006
373	1793	3002
374	1797	2996
375	1802	2991
376	1806	2985
377	1809	2977
378	1813	2971
379	1817	2965
380	1822	2960
381	1827	2956
382	1832	2951
383	1836	2945
384	1840	2939
385	1845	2935
386	1850	2931
387	1854	2925
388	1859	2920
389	1863	2914
390	1867	2909
391	1872	2904
392	1876	2898
393	1881	2894
394	1886	2889
395	1890	2884
396	1895	2879
397	1899	2873
398	1904	2868
399	1908	2862
400	1913	2858
401	1917	2852
402	1921	2846
403	1925	2840
404	1929	2834
405	1933	2828
406	1937	2822
407	1941	2816
408	1945	2811
409	1950	2807
410	1954	2801
411	1959	2796
412	1963	2790
413	1967	2784
414	1971	2778
415	1976	2774
416	1980	2768
417	1984	2762
418	1988	2757
419	1992	2751
420	1996	2745
421	2000	2740
422	2005	2735
423	2009	2729
424	2012	2723
425	2017	2717
426	2021	2712
427	2024	2706
428	2028	2700
429	2032	2694
430	2037	2690
431	2041	2684
432	2045	2678
433	2049	2672
434	2053	2667
435	2058	2662
436	2062	2656
437	2067	2652
438	2071	2647
439	2076	2642
440	2080	2636
441	2084	2632
442	2088	2626
443	2092	2620
444	2097	2616
445	2103	2613
446	2108	2608
447	2113	2604
448	2117	2598
449	2121	2593
450	2125	2587
451	2129	2582
452	2134	2576
453	2137	2571
454	2141	2565
455	2145	2560
456	2150	2555
457	2155	2550
458	2160	2546
459	2164	2540
460	2169	2536
461	2173	2530
462	2177	2525
463	2182	2520
464	2186	2515
465	2190	2510
466	2194	2504
467	2198	2499
468	2203	2494
469	2207	2489
470	2211	2484
471	2216	2479
472	2222	2475
473	2226	2470
474	2230	2465
475	2234	2460
476	2239	2455
477	2243	2450
478	2248	2446
479	2253	2440
480	2256	2435
481	2261	2430
482	2266	2425
483	2270	2420
484	2274	2415
485	2278	2409
486	2283	2404
487	2287	2400
488	2292	2395
489	2297	2390
490	2301	2385
491	2305	2380
492	2309	2375
493	2314	2370
494	2318	2365
495	2322	2359
496	2327	2356
497	2332	2351
498	2338	2347
499	2342	2342
500	2348	2338
501	2352	2333
502	2356	2328
503	2361	2323
504	2367	2320
505	2371	2315
506	2375	2309
507	2381	2306
508	2386	2301
509	2390	2297
510	2396	2293
511	2402	2289
512	2407	2285
513	2412	2280
514	2416	2275
515	2420	2270
516	2424	2265
517	2429	2260
518	2433	2255
519	2437	2249
520	2441	2244
521	2446	2240
522	2450	2235
523	2455	2230
524	2459	2225
525	2463	2220
526	2467	2214
527	2471	2209
528	2477	2205
529	2481	2200
530	2486	2195
531	2489	2190
532	2493	2185
533	2498	2180
534	2502	2175
535	2507	2170
536	2511	2165
537	2514	2159
538	2518	2154
539	2523	2149
540	2527	2144
541	2532	2139
542	2536	2134
543	2540	2129
544	2545	2125
545	2549	2120
546	2553	2114
547	2557	2109
548	2561	2103
549	2565	2099
550	2569	2093
551	2574	2089
552	2579	2085
553	2584	2080
554	2588	2075
555	2592	2070
556	2598	2066
557	2602	2061
558	2606	2056
559	2611	2051
560	2615	2046
561	2619	2041
562	2623	2036
563	2627	2031
564	2631	2025
565	2635	2020
566	2639	2015
567	2643	2010
568	2647	2005
569	2651	2000
570	2655	1994
571	2660	1990
572	2664	1985
573	2669	1980
574	2673	1976
575	2677	1971
576	2681	1965
577	2685	1961
578	2690	1955
579	2694	1951
580	2698	1946
581	2703	1941
582	2707	1936
583	2711	1931
584	2715	1926
585	2719	1921
586	2723	1916
587	2727	1911
588	2731	1906
589	2736	1901
590	2740	1896
591	2744	1891
592	2750	1887
593	2754	1882
594	2758	1877
595	2763	1873
596	2767	1868
597	2771	1863
598	2777	1859
599	2781	1854
600	2785	1849
601	2789	1844
602	2793	1839
603	2798	1834
604	2801	1829
605	2806	1824
606	2811	1820
607	2815	1815
608	2819	1810
609	2824	1805
610	2828	1800
611	2833	1796
612	2836	1790
613	2841	1786
614	2846	1781
615	2850	1776
616	2854	1771
617	2859	1767
618	2863	1762
619	2867	1757
620	2871	1752
621	2875	1747
622	2879	1742
623	2883	1737
624	2887	1732
625	2892	1728
626	2897	1723
627	2901	1718
628	2904	1713
629	2908	1708
630	2914	1704
631	2918	1699
632	2922	1694
633	2926	1689
634	2930	1684
635	2934	1679
636	2938	1674
637	2943	1669
638	2947	1665
639	2951	1660
640	2955	1655
641	2959	1650
642	2963	1645
643	2966	1640
644	2970	1634
645	2975	1630
646	2978	1625
647	2982	1620
648	2986	1615
649	2990	1610
650	2994	1605
651	2998	1600
652	3002	1595
653	3007	1591
654	3012	1586
655	3017	1582
656	3024	1578
657	3029	1574
658	3033	1569
659	3038	1565
660	3041	1560
661	3046	1555
662	3050	1550
663	3055	1546
664	3060	1541
665	3064	1536
666	3068	1531
667	3072	1527
668	3077	1522
669	3081	1517
670	3085	1512
671	3089	1507
672	3092	1502
673	3097	1498
674	3102	1494
675	3107	1489
676	3111	1484
677	3116	1480
678	3121	1475
679	3125	1470
680	3130	1466
681	3134	1461
682	3139	1457
683	3142	1451
684	3146	1446
685	3150	1441
686	3154	1437
687	3157	1432
688	3161	1427
689	3165	1422
690	3169	1417
691	3174	1412
692	3178	1408
693	3182	1403
694	3186	1398
695	3190	1393
696	3194	1388
697	3198	1383
698	3202	1379
699	3207	1374
700	3211	1369
701	3216	1365
702	3223	1361
703	3229	1357
704	3235	1353
705	3240	1349
706	3244	1344
707	3249	1340
708	3253	1335
709	3258	1331
710	3262	1326
711	3266	1321
712	3270	1316
713	3275	1312
714	3282	1308
715	3287	1304
716	3291	1299
717	3296	1294
718	3301	1290
719	3305	1285
720	3309	1280
721	3314	1276
722	3320	1272
723	3324	1267
724	3328	1262
725	3332	1257
726	3337	1253
727	3341	1248
728	3345	1243
729	3350	1239
730	3354	1234
731	3358	1229
732	3362	1224
733	3367	1220
734	3371	1215
735	3377	1211
736	3380	1206
737	3385	1201
738	3389	1197
739	3393	1192
740	3398	1187
741	3402	1183
742	3406	1178
743	3411	1173
744	3415	1169
745	3419	1164
746	3423	1159
747	3427	1154
748	3431	1149
749	3435	1145
750	3441	1140
751	3445	1136
752	3450	1131
753	3454	1127
754	3458	1122
755	3463	1117
756	3467	1113
757	3472	1108
758	3476	1103
759	3480	1099
760	3485	1094
761	3489	1089
762	3493	1085
763	3497	1080
764	3503	1076
765	3507	1071
766	3512	1066
767	3516	1062
768	3521	1057
769	3525	1053
770	3530	1048
771	3536	1044
772	3541	1040
773	3546	1035
774	3551	1030
775	3554	1026
776	3558	1021
777	3563	1016
778	3567	1012
779	3572	1007
780	3576	1003
781	3582	998
782	3588	994
783	3592	989
784	3597	985
785	3601	980
786	3606	976
787	3610	971
788	3615	966
789	3619	962
790	3623	957
791	3627	952
792	3633	948
793	3638	943
794	3642	939
795	3647	934
796	3651	930
797	3655	925
798	3660	920
799	3665	916
800	3670	911
801	3674	907
802	3678	902
803	3682	897
804	3686	892
805	3690	888
806	3694	883
807	3699	879
808	3703	874
809	3707	869
810	3712	865
811	3718	860
812	3721	856
813	3726	851
814	3732	847
815	3737	842
816	3743	838
817	3748	833
818	3753	829
819	3757	824
820	3762	820
821	3767	815
822	3771	811
823	3776	806
824	3782	802
825	3786	797
826	3790	792
827	3794	788
828	3800	783
829	3806	779
830	3811	775
831	3816	770
832	3820	765
833	3825	761
834	3830	757
835	3835	752
836	3840	747
837	3845	743
838	3850	738
839	3854	734
840	3859	729
841	3863	725
842	3868	720
843	3873	715
844	3878	711
845	3882	706
846	3886	702
847	3892	697
848	3896	693
849	3901	688
850	3907	684
851	3912	679
852	3917	675
853	3922	670
854	3927	666
855	3932	661
856	3937	657
857	3942	652
858	3947	647
859	3951	643
860	3955	638
861	3959	633
862	3963	629
863	3967	624
864	3971	619
865	3975	615
866	3980	610
867	3984	605
868	3989	601
869	3993	596
870	3998	592
871	4002	587
872	4007	582
873	4012	578
874	4016	573
875	4020	569
876	4024	564
877	4029	559
878	4034	555
879	4039	550
880	4045	546
881	4050	541
882	4053	537
883	4057	532
884	4061	527
885	4065	523
886	4070	518
887	4074	513
888	4078	509
889	4082	504
890	4086	499
891	4091	495
892	4095	490
893	4100	486
894	4105	481
895	4109	477
896	4114	472
897	4119	467
898	4123	463
899	4129	458
900	4133	454
901	4137	449
902	4141	444
903	4146	440
904	4151	435
905	4156	431
906	4160	426
907	4165	422
908	4169	417
909	4174	412
910	4179	408
911	4184	403
912	4188	399
913	4192	394
914	4197	389
915	4202	385
916	4206	380
917	4211	376
918	4214	371
919	4218	366
920	4223	362
921	4228	357
922	4232	353
923	4237	348
924	4243	344
925	4247	339
926	4252	334
927	4257	330
928	4261	325
929	4265	321
930	4269	316
931	4272	311
932	4276	307
933	4281	302
934	4285	297
935	4289	293
936	4294	288
937	4299	284
938	4303	279
939	4307	274
940	4311	270
941	4315	265
942	4319	261
943	4325	256
944	4329	252
945	4334	247
946	4338	242
947	4342	238
948	4346	233
949	4350	228
950	4353	224
951	4358	219
952	4362	215
953	4367	210
954	4371	205
955	4376	201
956	4380	196
957	4384	192
958	4388	187
959	4393	183
960	4399	178
961	4403	173
962	4409	169
963	4413	164
964	4428	160
965	4432	156
966	4436	151
967	4442	146
968	4446	142
969	4451	137
970	4456	133
971	4461	128
972	4465	123
973	4470	119
974	4474	114
975	4478	110
976	4483	105
977	4488	100
978	4492	96
979	4497	91
980	4502	87
981	4507	82
982	4512	78
983	4518	73
984	4523	68
985	4527	64
986	4532	59
987	4536	55
988	4541	50
989	4546	45
990	4550	41
991	4556	36
992	4560	32
993	4564	27
994	4568	22
995	4573	18
996	4577	13
997	4582	9
998	4586	4
999	4590	0
